trait,array,AFR,AMR,EAS,EUR,SAS
DIABETES,LPS_2.0,2.817 ± 2.793,2.103 ± 1.962,3.451 ± 3.193,2.100 ± 1.936,2.676 ± 2.531
HEIGHT,GSA,7.841 ± 6.974,4.044 ± 3.603,6.013 ± 5.257,3.588 ± 3.235,5.786 ± 5.129
HEIGHT,JAPONICA,6.377 ± 5.656,3.620 ± 3.354,4.120 ± 3.469,3.248 ± 2.886,4.654 ± 4.591
HEIGHT,UKB_WCSG,6.806 ± 6.116,2.930 ± 2.558,4.984 ± 4.377,2.081 ± 1.929,3.981 ± 3.627
HEIGHT,CYTOSNP,4.472 ± 4.185,3.026 ± 2.673,3.693 ± 3.313,2.358 ± 2.237,3.596 ± 3.407
HEIGHT,PMRA,6.326 ± 6.055,3.881 ± 3.545,5.249 ± 4.287,3.092 ± 2.792,4.751 ± 4.636
HEIGHT,PMDA,5.754 ± 4.995,3.457 ± 3.258,5.543 ± 4.933,2.807 ± 2.641,4.559 ± 4.352
HEIGHT,OMNI2.5,2.519 ± 2.303,1.859 ± 1.703,2.370 ± 2.044,1.427 ± 1.314,2.304 ± 2.125
HEIGHT,OMNI5,2.040 ± 1.931,1.125 ± 1.035,1.818 ± 1.702,0.944 ± 0.942,1.526 ± 1.420
HEIGHT,LPS_0.5,4.852 ± 4.500,3.325 ± 2.883,5.280 ± 4.930,3.102 ± 2.709,4.756 ± 4.430
HEIGHT,LPS_0.75,4.378 ± 4.064,3.179 ± 2.817,4.456 ± 4.105,2.817 ± 2.467,3.986 ± 3.743
HEIGHT,LPS_1.0,3.767 ± 3.493,2.800 ± 2.397,4.321 ± 3.895,2.343 ± 2.163,3.576 ± 3.306
HEIGHT,LPS_1.25,3.590 ± 3.276,2.736 ± 2.579,3.786 ± 3.357,2.188 ± 2.045,3.307 ± 3.194
HEIGHT,LPS_1.5,3.517 ± 3.297,2.428 ± 2.117,3.442 ± 3.058,1.934 ± 1.759,3.117 ± 2.988
HEIGHT,LPS_2.0,3.016 ± 2.708,2.213 ± 1.971,3.303 ± 2.935,1.879 ± 1.725,2.909 ± 2.646
METABOLIC,GSA,7.482 ± 6.585,3.998 ± 3.555,7.255 ± 6.608,4.565 ± 4.094,5.888 ± 5.248
METABOLIC,JAPONICA,6.195 ± 5.751,3.289 ± 3.193,4.679 ± 4.195,4.290 ± 3.712,4.783 ± 4.378
METABOLIC,UKB_WCSG,7.142 ± 6.786,2.874 ± 2.614,6.172 ± 5.298,2.854 ± 2.695,3.821 ± 3.592
METABOLIC,CYTOSNP,4.258 ± 3.905,2.536 ± 2.356,4.392 ± 3.747,3.116 ± 3.037,3.509 ± 2.996
METABOLIC,PMRA,5.921 ± 5.564,4.043 ± 3.630,6.450 ± 5.848,4.043 ± 3.607,5.195 ± 4.829
METABOLIC,PMDA,5.395 ± 5.001,3.222 ± 3.009,6.220 ± 5.748,3.868 ± 3.727,4.843 ± 4.381
METABOLIC,OMNI2.5,2.443 ± 2.319,1.726 ± 1.670,2.787 ± 2.591,1.956 ± 1.894,2.249 ± 1.969
METABOLIC,OMNI5,1.812 ± 1.705,1.193 ± 1.160,1.947 ± 1.815,1.225 ± 1.178,1.596 ± 1.450
METABOLIC,LPS_0.5,4.373 ± 4.055,3.232 ± 2.937,5.970 ± 5.245,4.001 ± 3.636,4.835 ± 4.229
METABOLIC,LPS_0.75,3.962 ± 3.636,2.809 ± 2.542,4.939 ± 4.613,3.337 ± 3.056,4.004 ± 3.510
METABOLIC,LPS_1.0,3.554 ± 3.319,2.518 ± 2.298,4.469 ± 4.030,3.133 ± 2.782,3.676 ± 3.234
METABOLIC,LPS_1.25,3.136 ± 2.922,2.261 ± 2.142,4.086 ± 3.781,2.729 ± 2.609,3.441 ± 2.914
METABOLIC,LPS_1.5,2.846 ± 2.766,2.382 ± 2.173,3.740 ± 3.513,2.649 ± 2.423,3.070 ± 2.694
METABOLIC,LPS_2.0,2.576 ± 2.472,2.090 ± 1.961,3.134 ± 2.872,2.288 ± 2.029,2.807 ± 2.578
