trait,array,AFR,AMR,EAS,EUR,SAS
DIABETES,OMNI2.5,2.617 ± 2.351,1.658 ± 1.557,3.010 ± 2.668,1.744 ± 1.570,2.373 ± 2.240
DIABETES,OMNI5,2.218 ± 2.083,1.232 ± 1.205,2.431 ± 2.192,1.261 ± 1.171,1.974 ± 1.883
DIABETES,LPS_0.5,4.647 ± 4.283,3.485 ± 2.982,6.120 ± 5.399,3.747 ± 3.450,4.417 ± 4.179
DIABETES,LPS_0.75,4.035 ± 3.964,3.133 ± 2.867,5.050 ± 4.429,3.194 ± 2.871,4.075 ± 3.811
DIABETES,LPS_1.0,3.622 ± 3.287,2.447 ± 2.242,4.503 ± 4.278,2.783 ± 2.650,3.424 ± 3.063
DIABETES,LPS_1.25,3.435 ± 3.406,2.510 ± 2.202,3.921 ± 3.447,2.564 ± 2.193,3.058 ± 2.748
DIABETES,LPS_1.5,3.385 ± 3.068,2.174 ± 2.142,3.825 ± 3.482,2.405 ± 2.174,3.250 ± 2.875
DIABETES,LPS_2.0,2.758 ± 2.738,2.070 ± 1.887,3.685 ± 3.210,2.170 ± 1.986,2.759 ± 2.594
HEIGHT,GSA,7.849 ± 7.013,4.124 ± 3.635,6.064 ± 5.136,3.570 ± 3.252,5.803 ± 5.202
HEIGHT,JAPONICA,6.300 ± 5.671,3.698 ± 3.401,4.175 ± 3.510,3.153 ± 2.791,4.552 ± 4.490
HEIGHT,UKB_WCSG,6.746 ± 6.042,2.928 ± 2.635,4.986 ± 4.415,2.087 ± 1.942,3.963 ± 3.639
HEIGHT,CYTOSNP,4.440 ± 4.175,3.022 ± 2.773,3.703 ± 3.219,2.318 ± 2.231,3.631 ± 3.345
HEIGHT,PMRA,6.223 ± 6.046,3.881 ± 3.628,5.238 ± 4.280,3.117 ± 2.802,4.794 ± 4.615
HEIGHT,PMDA,5.656 ± 5.029,3.457 ± 3.261,5.560 ± 4.966,2.797 ± 2.609,4.570 ± 4.398
HEIGHT,OMNI2.5,2.515 ± 2.262,1.885 ± 1.707,2.373 ± 2.049,1.419 ± 1.272,2.249 ± 2.094
HEIGHT,OMNI5,2.060 ± 1.929,1.177 ± 1.100,1.895 ± 1.730,0.931 ± 0.940,1.523 ± 1.370
HEIGHT,LPS_0.5,4.919 ± 4.513,3.278 ± 2.887,5.248 ± 4.878,3.035 ± 2.736,4.761 ± 4.394
HEIGHT,LPS_0.75,4.353 ± 3.989,3.163 ± 2.852,4.504 ± 4.097,2.844 ± 2.466,4.012 ± 3.787
HEIGHT,LPS_1.0,3.850 ± 3.504,2.821 ± 2.398,4.308 ± 3.782,2.323 ± 2.183,3.669 ± 3.423
HEIGHT,LPS_1.25,3.601 ± 3.260,2.692 ± 2.511,3.843 ± 3.273,2.217 ± 2.069,3.351 ± 3.282
HEIGHT,LPS_1.5,3.468 ± 3.323,2.430 ± 2.154,3.442 ± 3.067,1.951 ± 1.778,3.152 ± 2.934
HEIGHT,LPS_2.0,3.040 ± 2.727,2.264 ± 2.054,3.307 ± 2.972,1.937 ± 1.755,2.913 ± 2.691
METABOLIC,GSA,7.394 ± 6.633,3.985 ± 3.388,7.344 ± 6.662,4.561 ± 4.026,5.825 ± 5.175
METABOLIC,JAPONICA,6.156 ± 5.831,3.176 ± 3.100,4.732 ± 4.261,4.154 ± 3.720,4.852 ± 4.451
METABOLIC,UKB_WCSG,7.076 ± 6.754,2.781 ± 2.610,6.206 ± 5.368,2.864 ± 2.683,3.769 ± 3.478
METABOLIC,CYTOSNP,4.275 ± 3.982,2.483 ± 2.295,4.598 ± 3.931,3.130 ± 2.994,3.631 ± 3.048
METABOLIC,PMRA,5.870 ± 5.552,3.922 ± 3.594,6.502 ± 5.852,4.100 ± 3.678,5.202 ± 4.742
METABOLIC,PMDA,5.357 ± 4.941,3.144 ± 2.918,6.226 ± 5.863,3.783 ± 3.667,4.843 ± 4.336
METABOLIC,OMNI2.5,2.414 ± 2.358,1.663 ± 1.644,2.775 ± 2.612,1.881 ± 1.821,2.296 ± 2.058
METABOLIC,OMNI5,1.879 ± 1.787,1.154 ± 1.114,2.005 ± 1.810,1.186 ± 1.139,1.649 ± 1.551
METABOLIC,LPS_0.5,4.381 ± 4.196,3.217 ± 3.087,6.094 ± 5.391,3.942 ± 3.595,4.840 ± 4.280
METABOLIC,LPS_0.75,3.980 ± 3.691,2.789 ± 2.616,5.015 ± 4.565,3.220 ± 2.909,4.062 ± 3.616
METABOLIC,LPS_1.0,3.541 ± 3.345,2.437 ± 2.231,4.603 ± 4.077,3.020 ± 2.831,3.647 ± 3.162
METABOLIC,LPS_1.25,3.187 ± 3.040,2.330 ± 2.222,4.130 ± 3.861,2.669 ± 2.534,3.489 ± 3.019
METABOLIC,LPS_1.5,2.898 ± 2.856,2.246 ± 2.157,3.802 ± 3.565,2.665 ± 2.431,3.096 ± 2.805
METABOLIC,LPS_2.0,2.564 ± 2.500,2.095 ± 1.911,3.257 ± 2.952,2.202 ± 2.014,2.866 ± 2.625
