trait,array,AFR,AMR,EAS,EUR,SAS
HEIGHT,JAPONICA,6.395 ± 5.697,3.633 ± 3.343,4.152 ± 3.582,3.201 ± 2.791,4.698 ± 4.615
HEIGHT,UKB_WCSG,6.829 ± 6.104,3.020 ± 2.649,4.837 ± 4.295,2.148 ± 1.928,3.982 ± 3.723
HEIGHT,CYTOSNP,4.477 ± 4.065,3.015 ± 2.624,3.723 ± 3.285,2.381 ± 2.266,3.577 ± 3.485
HEIGHT,PMRA,6.301 ± 6.067,3.960 ± 3.592,5.104 ± 4.148,3.087 ± 2.811,4.783 ± 4.747
HEIGHT,PMDA,5.764 ± 5.037,3.495 ± 3.292,5.521 ± 4.868,2.823 ± 2.739,4.585 ± 4.439
HEIGHT,OMNI2.5,2.526 ± 2.320,1.899 ± 1.692,2.396 ± 2.048,1.418 ± 1.357,2.338 ± 2.185
HEIGHT,OMNI5,2.089 ± 1.963,1.178 ± 1.086,1.875 ± 1.680,0.942 ± 0.919,1.558 ± 1.413
HEIGHT,LPS_0.5,4.863 ± 4.434,3.360 ± 2.970,5.285 ± 4.917,3.085 ± 2.695,4.745 ± 4.480
HEIGHT,LPS_0.75,4.382 ± 4.100,3.246 ± 2.789,4.460 ± 3.957,2.839 ± 2.477,4.020 ± 3.789
HEIGHT,LPS_1.0,3.796 ± 3.501,2.823 ± 2.460,4.276 ± 3.765,2.383 ± 2.154,3.545 ± 3.336
HEIGHT,LPS_1.25,3.646 ± 3.310,2.657 ± 2.500,3.807 ± 3.323,2.194 ± 1.965,3.321 ± 3.248
HEIGHT,LPS_1.5,3.480 ± 3.363,2.396 ± 2.142,3.424 ± 3.056,1.939 ± 1.714,3.135 ± 3.015
HEIGHT,LPS_2.0,3.001 ± 2.639,2.122 ± 1.895,3.244 ± 2.933,1.928 ± 1.713,2.895 ± 2.616
METABOLIC,GSA,7.622 ± 6.709,4.053 ± 3.627,7.052 ± 6.317,4.555 ± 4.014,5.931 ± 5.030
METABOLIC,JAPONICA,6.127 ± 5.673,3.362 ± 3.317,4.408 ± 4.030,4.340 ± 3.837,4.655 ± 4.222
METABOLIC,UKB_WCSG,7.194 ± 6.918,2.869 ± 2.673,6.019 ± 5.165,2.876 ± 2.671,3.902 ± 3.620
METABOLIC,CYTOSNP,4.181 ± 3.742,2.470 ± 2.310,4.203 ± 3.609,3.045 ± 2.946,3.499 ± 3.063
METABOLIC,PMRA,5.969 ± 5.816,4.023 ± 3.792,6.404 ± 5.558,4.032 ± 3.582,5.132 ± 4.754
METABOLIC,PMDA,5.478 ± 4.987,3.267 ± 3.162,6.072 ± 5.553,3.871 ± 3.723,4.631 ± 4.246
METABOLIC,OMNI2.5,2.477 ± 2.317,1.762 ± 1.689,2.686 ± 2.497,1.961 ± 1.874,2.242 ± 2.016
METABOLIC,OMNI5,1.882 ± 1.808,1.209 ± 1.189,1.851 ± 1.684,1.208 ± 1.125,1.611 ± 1.459
METABOLIC,LPS_0.5,4.361 ± 4.071,3.352 ± 3.164,5.859 ± 5.169,3.962 ± 3.596,4.855 ± 4.213
METABOLIC,LPS_0.75,4.044 ± 3.744,2.824 ± 2.633,4.846 ± 4.348,3.179 ± 2.960,3.898 ± 3.403
METABOLIC,LPS_1.0,3.577 ± 3.340,2.521 ± 2.357,4.318 ± 3.908,3.131 ± 2.769,3.570 ± 3.103
METABOLIC,LPS_1.25,3.182 ± 2.941,2.282 ± 2.272,3.943 ± 3.670,2.684 ± 2.605,3.378 ± 2.996
METABOLIC,LPS_1.5,2.867 ± 2.755,2.350 ± 2.246,3.686 ± 3.465,2.605 ± 2.306,3.075 ± 2.705
METABOLIC,LPS_2.0,2.626 ± 2.540,2.108 ± 1.976,3.076 ± 2.841,2.260 ± 2.013,2.707 ± 2.433
