trait,array,AFR,AMR,EAS,EUR,SAS
HEIGHT,UKB_WCSG,6.809 ± 6.253,2.903 ± 2.643,4.837 ± 4.265,2.203 ± 2.037,3.879 ± 3.536
HEIGHT,CYTOSNP,4.235 ± 3.827,2.654 ± 2.299,3.455 ± 3.134,2.463 ± 2.343,3.419 ± 3.196
HEIGHT,PMRA,6.274 ± 6.094,3.808 ± 3.511,5.090 ± 4.365,3.331 ± 3.083,4.822 ± 4.459
HEIGHT,PMDA,5.719 ± 5.178,3.524 ± 3.491,5.427 ± 4.854,2.979 ± 2.832,4.534 ± 4.163
HEIGHT,OMNI2.5,2.392 ± 2.194,1.689 ± 1.503,2.356 ± 1.961,1.498 ± 1.459,2.079 ± 1.979
HEIGHT,OMNI5,2.021 ± 1.897,1.174 ± 1.049,1.873 ± 1.807,0.989 ± 0.992,1.566 ± 1.475
HEIGHT,LPS_0.5,4.518 ± 4.340,3.702 ± 3.355,5.035 ± 4.712,3.104 ± 2.847,4.511 ± 4.027
HEIGHT,LPS_0.75,4.082 ± 4.034,3.235 ± 2.955,4.427 ± 3.901,2.971 ± 2.582,3.883 ± 3.712
HEIGHT,LPS_1.0,3.720 ± 3.434,2.663 ± 2.356,4.204 ± 3.697,2.456 ± 2.362,3.348 ± 2.951
HEIGHT,LPS_1.25,3.611 ± 3.274,2.620 ± 2.429,3.633 ± 3.352,2.318 ± 2.111,3.239 ± 2.929
HEIGHT,LPS_1.5,3.319 ± 3.169,2.531 ± 2.422,3.344 ± 3.073,2.088 ± 1.997,3.103 ± 2.843
HEIGHT,LPS_2.0,3.046 ± 2.861,2.293 ± 2.109,3.055 ± 2.728,2.036 ± 1.902,2.734 ± 2.521
METABOLIC,GSA,7.587 ± 7.280,4.001 ± 3.504,6.458 ± 6.012,4.190 ± 3.712,5.581 ± 4.695
METABOLIC,JAPONICA,6.055 ± 5.785,3.377 ± 3.100,4.061 ± 3.628,4.009 ± 3.689,4.249 ± 3.792
METABOLIC,UKB_WCSG,6.828 ± 6.807,3.036 ± 2.740,5.720 ± 4.899,2.863 ± 2.619,3.925 ± 3.592
METABOLIC,CYTOSNP,4.050 ± 3.767,2.536 ± 2.299,3.612 ± 3.096,2.511 ± 2.382,3.107 ± 2.764
METABOLIC,PMRA,6.076 ± 5.624,3.751 ± 3.360,5.930 ± 5.385,3.729 ± 3.296,4.680 ± 4.350
METABOLIC,PMDA,5.711 ± 5.172,3.217 ± 2.993,5.875 ± 5.016,3.525 ± 3.171,4.504 ± 4.215
METABOLIC,OMNI2.5,2.544 ± 2.516,1.810 ± 1.639,2.644 ± 2.298,1.889 ± 1.690,2.232 ± 2.037
METABOLIC,OMNI5,1.743 ± 1.725,1.174 ± 1.064,1.780 ± 1.657,1.100 ± 1.057,1.546 ± 1.488
METABOLIC,LPS_0.5,4.254 ± 4.322,3.050 ± 2.814,5.440 ± 4.935,3.499 ± 3.289,4.476 ± 4.072
METABOLIC,LPS_0.75,3.816 ± 3.571,2.676 ± 2.461,4.262 ± 3.762,2.693 ± 2.334,3.699 ± 3.368
METABOLIC,LPS_1.0,3.301 ± 3.276,2.266 ± 1.965,3.659 ± 3.300,2.673 ± 2.317,3.049 ± 2.877
METABOLIC,LPS_1.25,3.150 ± 2.999,2.188 ± 1.937,3.591 ± 3.074,2.375 ± 2.221,2.910 ± 2.646
METABOLIC,LPS_1.5,2.871 ± 2.678,2.319 ± 2.184,3.234 ± 2.906,2.234 ± 1.931,2.702 ± 2.434
METABOLIC,LPS_2.0,2.604 ± 2.562,1.879 ± 1.671,2.671 ± 2.468,1.979 ± 1.766,2.451 ± 2.395
