trait,array,AFR,AMR,EAS,EUR,SAS
DIABETES,LPS_1.0,3.022 ± 2.798,2.325 ± 2.148,3.459 ± 3.258,2.901 ± 2.874,3.123 ± 2.565
DIABETES,LPS_1.25,2.740 ± 2.444,1.913 ± 1.772,3.435 ± 3.177,2.522 ± 2.411,2.739 ± 2.462
DIABETES,LPS_1.5,2.522 ± 2.267,2.104 ± 2.027,2.997 ± 2.835,2.322 ± 2.275,2.714 ± 2.344
DIABETES,LPS_2.0,2.172 ± 2.107,1.867 ± 1.658,2.533 ± 2.478,2.270 ± 2.220,2.649 ± 2.255
HEIGHT,GSA,7.474 ± 7.015,4.132 ± 3.956,6.012 ± 5.397,3.991 ± 3.758,5.359 ± 4.719
HEIGHT,JAPONICA,6.554 ± 6.103,3.873 ± 3.736,3.758 ± 3.449,3.604 ± 3.295,4.386 ± 4.005
HEIGHT,UKB_WCSG,6.732 ± 6.048,3.103 ± 2.633,4.904 ± 4.279,2.298 ± 2.224,3.612 ± 3.290
HEIGHT,CYTOSNP,4.193 ± 4.017,2.707 ± 2.468,3.423 ± 2.992,2.485 ± 2.238,3.088 ± 2.860
HEIGHT,PMRA,6.056 ± 6.004,3.592 ± 3.446,4.949 ± 4.351,3.563 ± 3.174,4.463 ± 4.062
HEIGHT,PMDA,5.563 ± 5.215,3.755 ± 3.595,5.267 ± 4.668,3.129 ± 2.977,4.526 ± 4.199
HEIGHT,OMNI2.5,2.345 ± 2.220,1.732 ± 1.769,2.192 ± 1.961,1.463 ± 1.427,2.081 ± 1.947
HEIGHT,OMNI5,1.943 ± 1.815,1.212 ± 1.186,1.775 ± 1.684,1.013 ± 1.032,1.567 ± 1.455
HEIGHT,LPS_0.5,4.411 ± 4.128,4.004 ± 3.540,4.915 ± 4.465,3.137 ± 2.853,4.299 ± 3.881
HEIGHT,LPS_0.75,3.976 ± 3.874,3.328 ± 3.013,4.485 ± 3.943,2.893 ± 2.611,3.710 ± 3.189
HEIGHT,LPS_1.0,3.446 ± 3.279,3.086 ± 2.853,4.108 ± 3.622,2.602 ± 2.362,3.418 ± 3.127
HEIGHT,LPS_1.25,3.387 ± 3.063,2.711 ± 2.691,3.512 ± 3.276,2.413 ± 2.167,3.103 ± 2.667
HEIGHT,LPS_1.5,3.087 ± 3.061,2.731 ± 2.614,3.331 ± 3.208,2.153 ± 1.991,3.127 ± 2.783
HEIGHT,LPS_2.0,2.819 ± 2.694,2.561 ± 2.481,2.986 ± 2.875,2.088 ± 1.861,2.784 ± 2.525
METABOLIC,GSA,7.323 ± 6.255,3.965 ± 3.740,5.593 ± 4.984,4.057 ± 3.737,4.849 ± 4.607
METABOLIC,JAPONICA,5.941 ± 5.547,3.370 ± 3.351,3.766 ± 3.331,3.680 ± 3.269,4.287 ± 3.904
METABOLIC,UKB_WCSG,6.811 ± 6.301,3.197 ± 3.236,4.730 ± 4.212,2.847 ± 2.680,3.644 ± 3.443
METABOLIC,CYTOSNP,3.763 ± 3.616,2.292 ± 2.039,3.026 ± 2.594,2.430 ± 2.248,2.624 ± 2.345
METABOLIC,PMRA,5.958 ± 5.855,4.016 ± 3.723,4.894 ± 4.372,3.543 ± 3.408,4.512 ± 3.996
METABOLIC,PMDA,5.874 ± 5.307,3.280 ± 3.147,5.128 ± 4.464,3.363 ± 2.921,4.504 ± 4.099
METABOLIC,OMNI2.5,2.474 ± 2.284,1.832 ± 1.641,2.425 ± 2.069,1.807 ± 1.699,2.070 ± 1.776
METABOLIC,OMNI5,1.811 ± 1.695,1.173 ± 1.171,1.649 ± 1.539,1.145 ± 1.151,1.394 ± 1.243
METABOLIC,LPS_0.5,3.938 ± 3.785,3.048 ± 2.933,4.613 ± 4.257,3.073 ± 2.976,3.954 ± 3.439
METABOLIC,LPS_0.75,3.566 ± 3.415,2.721 ± 2.627,3.642 ± 3.192,2.674 ± 2.477,3.213 ± 3.011
METABOLIC,LPS_1.0,3.001 ± 2.768,2.287 ± 2.388,3.149 ± 2.968,2.422 ± 2.261,2.977 ± 2.802
METABOLIC,LPS_1.25,2.692 ± 2.494,1.904 ± 1.845,2.902 ± 2.612,2.136 ± 2.058,2.627 ± 2.505
METABOLIC,LPS_1.5,2.584 ± 2.436,2.045 ± 2.063,2.690 ± 2.462,2.050 ± 1.870,2.235 ± 2.125
METABOLIC,LPS_2.0,2.251 ± 2.170,2.015 ± 1.946,2.320 ± 2.056,1.768 ± 1.636,2.253 ± 2.048
