trait,array,AFR,AMR,EAS,EUR,SAS
HEIGHT,OMNI5,1.916 ± 1.701,1.267 ± 1.201,1.702 ± 1.595,1.039 ± 1.006,1.503 ± 1.449
HEIGHT,LPS_0.5,4.385 ± 4.025,3.764 ± 3.431,4.706 ± 4.227,3.422 ± 2.965,4.270 ± 3.840
HEIGHT,LPS_0.75,4.015 ± 3.608,3.154 ± 3.085,4.375 ± 3.836,2.899 ± 2.568,3.732 ± 3.416
HEIGHT,LPS_1.0,3.621 ± 3.177,3.020 ± 2.729,3.929 ± 3.527,2.644 ± 2.498,3.322 ± 3.039
HEIGHT,LPS_1.25,3.323 ± 2.932,2.747 ± 2.596,3.349 ± 3.130,2.558 ± 2.226,3.056 ± 2.736
HEIGHT,LPS_1.5,3.079 ± 2.781,2.695 ± 2.436,3.200 ± 2.968,2.384 ± 2.185,2.912 ± 2.673
HEIGHT,LPS_2.0,2.791 ± 2.564,2.444 ± 2.207,2.934 ± 2.617,2.185 ± 1.937,2.721 ± 2.516
METABOLIC,GSA,6.898 ± 6.078,4.466 ± 4.075,5.305 ± 4.567,4.098 ± 3.802,4.978 ± 4.527
METABOLIC,JAPONICA,5.805 ± 5.261,3.598 ± 3.398,3.521 ± 3.172,3.770 ± 3.218,4.576 ± 4.209
METABOLIC,UKB_WCSG,6.310 ± 5.651,3.261 ± 3.041,4.440 ± 3.920,2.655 ± 2.397,3.694 ± 3.539
METABOLIC,CYTOSNP,3.603 ± 3.477,2.372 ± 2.134,2.789 ± 2.629,2.258 ± 2.054,2.647 ± 2.621
METABOLIC,PMRA,5.381 ± 5.005,3.910 ± 3.757,4.539 ± 4.303,3.555 ± 3.440,4.327 ± 3.932
METABOLIC,PMDA,5.463 ± 5.257,3.168 ± 2.959,4.613 ± 3.998,3.255 ± 3.072,4.207 ± 3.929
METABOLIC,OMNI2.5,2.422 ± 2.294,1.887 ± 1.839,2.180 ± 1.944,1.616 ± 1.434,1.882 ± 1.934
METABOLIC,OMNI5,1.713 ± 1.681,1.309 ± 1.350,1.499 ± 1.360,1.052 ± 1.028,1.362 ± 1.373
METABOLIC,LPS_0.5,3.754 ± 3.344,3.001 ± 2.683,3.942 ± 3.550,2.869 ± 2.742,3.469 ± 3.290
METABOLIC,LPS_0.75,3.305 ± 3.035,2.681 ± 2.511,3.320 ± 3.136,2.735 ± 2.512,2.995 ± 2.862
METABOLIC,LPS_1.0,2.895 ± 2.711,2.518 ± 2.479,2.900 ± 2.537,2.224 ± 2.024,2.752 ± 2.561
METABOLIC,LPS_1.25,2.497 ± 2.196,1.993 ± 1.780,2.675 ± 2.366,2.027 ± 1.868,2.565 ± 2.498
METABOLIC,LPS_1.5,2.417 ± 2.251,2.041 ± 2.026,2.454 ± 2.227,2.006 ± 1.815,2.034 ± 1.949
METABOLIC,LPS_2.0,2.195 ± 1.970,2.031 ± 1.966,2.187 ± 2.064,1.753 ± 1.622,2.176 ± 2.022
