trait,array,AFR,AMR,EAS,EUR,SAS
DIABETES,LPS_0.5,4.653 ± 4.321,3.563 ± 3.110,6.102 ± 5.390,3.728 ± 3.523,4.411 ± 4.214
DIABETES,LPS_0.75,3.979 ± 3.944,3.144 ± 2.996,5.010 ± 4.443,3.180 ± 2.878,4.198 ± 3.799
DIABETES,LPS_1.0,3.620 ± 3.286,2.555 ± 2.337,4.500 ± 4.262,2.867 ± 2.716,3.424 ± 3.097
DIABETES,LPS_1.25,3.380 ± 3.375,2.548 ± 2.298,3.941 ± 3.491,2.566 ± 2.271,3.091 ± 2.752
DIABETES,LPS_1.5,3.340 ± 3.039,2.159 ± 2.015,3.938 ± 3.513,2.436 ± 2.305,3.241 ± 2.953
DIABETES,LPS_2.0,2.795 ± 2.752,2.103 ± 1.965,3.635 ± 3.194,2.271 ± 2.091,2.780 ± 2.649
HEIGHT,GSA,7.835 ± 7.004,4.150 ± 3.749,6.026 ± 5.136,3.576 ± 3.262,5.795 ± 5.238
HEIGHT,JAPONICA,6.258 ± 5.640,3.702 ± 3.443,4.239 ± 3.591,3.153 ± 2.783,4.540 ± 4.520
HEIGHT,UKB_WCSG,6.751 ± 6.042,2.981 ± 2.588,5.009 ± 4.405,2.085 ± 1.950,3.980 ± 3.625
HEIGHT,CYTOSNP,4.465 ± 4.227,3.074 ± 2.885,3.750 ± 3.235,2.350 ± 2.239,3.599 ± 3.344
HEIGHT,PMRA,6.318 ± 6.108,3.961 ± 3.592,5.189 ± 4.266,3.102 ± 2.842,4.775 ± 4.639
HEIGHT,PMDA,5.655 ± 5.023,3.466 ± 3.366,5.582 ± 4.963,2.775 ± 2.583,4.537 ± 4.457
HEIGHT,OMNI2.5,2.484 ± 2.262,1.948 ± 1.797,2.390 ± 1.982,1.424 ± 1.299,2.349 ± 2.157
HEIGHT,OMNI5,2.043 ± 1.888,1.200 ± 1.152,1.871 ± 1.695,0.953 ± 0.910,1.524 ± 1.398
HEIGHT,LPS_0.5,4.870 ± 4.477,3.288 ± 2.987,5.263 ± 4.980,2.984 ± 2.773,4.739 ± 4.392
HEIGHT,LPS_0.75,4.304 ± 3.922,3.219 ± 2.927,4.455 ± 4.094,2.823 ± 2.478,4.002 ± 3.791
HEIGHT,LPS_1.0,3.856 ± 3.526,2.848 ± 2.495,4.326 ± 3.771,2.332 ± 2.152,3.619 ± 3.375
HEIGHT,LPS_1.25,3.582 ± 3.210,2.751 ± 2.621,3.828 ± 3.258,2.217 ± 2.064,3.313 ± 3.207
HEIGHT,LPS_1.5,3.438 ± 3.302,2.434 ± 2.174,3.486 ± 3.064,1.965 ± 1.752,3.176 ± 2.935
HEIGHT,LPS_2.0,3.066 ± 2.689,2.251 ± 2.131,3.325 ± 2.973,1.948 ± 1.741,2.901 ± 2.667
METABOLIC,GSA,7.273 ± 6.589,3.927 ± 3.311,7.379 ± 6.677,4.554 ± 4.032,5.718 ± 5.135
METABOLIC,JAPONICA,6.095 ± 5.734,3.247 ± 3.086,4.748 ± 4.219,4.236 ± 3.754,4.869 ± 4.409
METABOLIC,UKB_WCSG,7.105 ± 6.747,2.696 ± 2.534,6.221 ± 5.326,2.854 ± 2.756,3.749 ± 3.395
METABOLIC,CYTOSNP,4.274 ± 4.000,2.460 ± 2.170,4.532 ± 3.921,3.160 ± 3.063,3.608 ± 3.071
METABOLIC,PMRA,5.841 ± 5.444,3.827 ± 3.471,6.593 ± 5.876,4.177 ± 3.682,5.157 ± 4.712
METABOLIC,PMDA,5.293 ± 4.887,3.133 ± 2.828,6.244 ± 5.897,3.870 ± 3.699,4.874 ± 4.295
METABOLIC,OMNI2.5,2.427 ± 2.329,1.711 ± 1.636,2.772 ± 2.554,1.953 ± 1.819,2.305 ± 2.083
METABOLIC,OMNI5,1.854 ± 1.701,1.126 ± 1.062,1.976 ± 1.756,1.228 ± 1.192,1.628 ± 1.544
METABOLIC,LPS_0.5,4.362 ± 4.157,3.206 ± 3.026,6.170 ± 5.316,4.001 ± 3.632,4.810 ± 4.345
METABOLIC,LPS_0.75,3.987 ± 3.644,2.771 ± 2.524,5.104 ± 4.636,3.206 ± 2.896,4.060 ± 3.628
METABOLIC,LPS_1.0,3.551 ± 3.261,2.462 ± 2.258,4.541 ± 4.140,3.024 ± 2.844,3.634 ± 3.170
METABOLIC,LPS_1.25,3.180 ± 3.012,2.211 ± 2.155,4.165 ± 3.938,2.632 ± 2.566,3.417 ± 2.890
METABOLIC,LPS_1.5,2.805 ± 2.722,2.242 ± 2.019,3.884 ± 3.560,2.676 ± 2.455,3.056 ± 2.717
METABOLIC,LPS_2.0,2.578 ± 2.464,2.061 ± 1.836,3.252 ± 2.990,2.226 ± 1.990,2.790 ± 2.540
