trait,array,AFR,AMR,EAS,EUR,SAS
DIABETES,JAPONICA,5.493 ± 5.297,2.814 ± 2.671,3.647 ± 3.457,2.958 ± 2.941,3.929 ± 3.393
DIABETES,UKB_WCSG,6.198 ± 5.619,2.789 ± 2.353,4.000 ± 3.659,2.421 ± 2.470,3.401 ± 3.240
DIABETES,CYTOSNP,3.970 ± 3.683,2.086 ± 2.023,3.467 ± 3.310,2.156 ± 2.285,2.501 ± 2.518
DIABETES,PMRA,5.392 ± 5.098,2.899 ± 2.648,4.309 ± 4.293,3.192 ± 3.060,4.310 ± 3.970
DIABETES,PMDA,5.333 ± 4.784,2.777 ± 2.509,4.871 ± 4.561,3.057 ± 2.934,4.172 ± 3.925
DIABETES,OMNI2.5,2.224 ± 2.249,1.543 ± 1.582,2.376 ± 2.439,1.199 ± 1.381,1.752 ± 1.827
DIABETES,OMNI5,1.928 ± 2.051,1.110 ± 1.242,2.012 ± 2.039,0.929 ± 1.220,1.384 ± 1.540
DIABETES,LPS_0.5,4.186 ± 3.933,3.044 ± 2.831,4.355 ± 4.168,3.446 ± 3.070,4.135 ± 3.753
DIABETES,LPS_0.75,3.238 ± 3.092,2.529 ± 2.361,3.846 ± 3.484,2.819 ± 2.607,3.463 ± 3.077
DIABETES,LPS_1.0,3.119 ± 3.083,2.130 ± 2.042,3.361 ± 3.204,2.778 ± 2.619,3.194 ± 2.777
DIABETES,LPS_1.25,2.653 ± 2.571,2.097 ± 1.992,3.206 ± 3.285,2.389 ± 2.276,2.949 ± 2.688
DIABETES,LPS_1.5,2.553 ± 2.392,1.964 ± 1.914,2.950 ± 2.832,2.373 ± 2.288,2.776 ± 2.400
DIABETES,LPS_2.0,2.286 ± 2.219,1.797 ± 1.648,2.292 ± 2.212,2.187 ± 1.997,2.822 ± 2.431
HEIGHT,GSA,7.251 ± 6.672,4.209 ± 3.970,5.930 ± 5.366,4.039 ± 3.750,5.478 ± 4.765
HEIGHT,JAPONICA,6.585 ± 5.871,3.969 ± 3.818,3.933 ± 3.668,3.697 ± 3.441,4.274 ± 3.947
HEIGHT,UKB_WCSG,6.680 ± 6.148,3.078 ± 2.580,4.804 ± 4.336,2.365 ± 2.222,3.442 ± 3.181
HEIGHT,CYTOSNP,4.016 ± 3.828,2.730 ± 2.448,3.377 ± 2.993,2.624 ± 2.472,3.163 ± 2.919
HEIGHT,PMRA,5.977 ± 5.669,3.531 ± 3.388,4.870 ± 4.287,3.648 ± 3.241,4.436 ± 3.996
HEIGHT,PMDA,5.627 ± 5.093,3.790 ± 3.540,5.284 ± 4.780,3.239 ± 2.992,4.475 ± 4.124
HEIGHT,OMNI2.5,2.371 ± 2.229,1.715 ± 1.696,2.176 ± 1.972,1.538 ± 1.475,2.055 ± 1.976
HEIGHT,OMNI5,1.936 ± 1.738,1.268 ± 1.235,1.768 ± 1.692,1.043 ± 1.040,1.580 ± 1.427
HEIGHT,LPS_0.5,4.398 ± 4.029,3.849 ± 3.509,4.732 ± 4.319,3.348 ± 3.132,4.389 ± 3.926
HEIGHT,LPS_0.75,4.041 ± 3.818,3.266 ± 3.145,4.433 ± 3.823,2.971 ± 2.751,3.697 ± 3.260
HEIGHT,LPS_1.0,3.506 ± 3.238,2.991 ± 2.703,4.083 ± 3.626,2.666 ± 2.364,3.344 ± 3.063
HEIGHT,LPS_1.25,3.418 ± 2.995,2.731 ± 2.554,3.491 ± 3.227,2.547 ± 2.279,3.048 ± 2.771
HEIGHT,LPS_1.5,3.106 ± 2.986,2.662 ± 2.400,3.315 ± 3.086,2.283 ± 2.087,2.886 ± 2.645
HEIGHT,LPS_2.0,2.858 ± 2.675,2.526 ± 2.303,3.016 ± 2.767,2.161 ± 1.965,2.697 ± 2.600
METABOLIC,GSA,7.064 ± 6.211,4.309 ± 3.949,5.501 ± 4.742,3.907 ± 3.671,4.997 ± 4.461
METABOLIC,JAPONICA,5.846 ± 5.148,3.501 ± 3.419,3.474 ± 3.040,3.730 ± 3.343,4.182 ± 3.687
METABOLIC,UKB_WCSG,6.444 ± 5.697,3.174 ± 3.214,4.360 ± 3.903,2.703 ± 2.446,3.510 ± 3.292
METABOLIC,CYTOSNP,3.674 ± 3.387,2.422 ± 2.345,2.712 ± 2.417,2.210 ± 2.015,2.606 ± 2.482
METABOLIC,PMRA,5.440 ± 5.202,3.940 ± 3.743,4.552 ± 4.152,3.574 ± 3.400,4.223 ± 3.766
METABOLIC,PMDA,5.542 ± 4.919,3.199 ± 3.175,4.626 ± 4.014,3.290 ± 2.994,4.210 ± 4.009
METABOLIC,OMNI2.5,2.484 ± 2.170,1.827 ± 1.690,2.316 ± 1.932,1.716 ± 1.598,1.913 ± 1.841
METABOLIC,OMNI5,1.790 ± 1.689,1.214 ± 1.229,1.593 ± 1.439,1.098 ± 1.071,1.434 ± 1.425
METABOLIC,LPS_0.5,3.830 ± 3.424,3.030 ± 2.859,4.014 ± 3.644,2.972 ± 2.770,3.525 ± 3.250
METABOLIC,LPS_0.75,3.379 ± 2.987,2.611 ± 2.493,3.212 ± 2.785,2.669 ± 2.364,3.019 ± 2.902
METABOLIC,LPS_1.0,2.857 ± 2.621,2.345 ± 2.264,3.027 ± 2.702,2.315 ± 2.130,2.698 ± 2.531
METABOLIC,LPS_1.25,2.564 ± 2.322,1.835 ± 1.629,2.668 ± 2.400,2.066 ± 1.890,2.516 ± 2.418
METABOLIC,LPS_1.5,2.386 ± 2.189,1.988 ± 2.021,2.426 ± 2.137,1.885 ± 1.779,2.123 ± 1.974
METABOLIC,LPS_2.0,2.170 ± 2.006,2.005 ± 1.866,2.090 ± 2.008,1.746 ± 1.625,2.141 ± 2.057
