trait,array,AFR,AMR,EAS,EUR,SAS
DIABETES,LPS_0.75,3.414 ± 3.164,2.687 ± 2.266,4.124 ± 3.717,2.965 ± 2.844,3.758 ± 3.432
DIABETES,LPS_1.0,3.052 ± 2.877,2.382 ± 2.090,3.405 ± 3.068,2.838 ± 2.683,3.258 ± 2.967
DIABETES,LPS_1.25,2.725 ± 2.720,2.187 ± 1.896,3.281 ± 3.101,2.531 ± 2.277,2.768 ± 2.488
DIABETES,LPS_1.5,2.628 ± 2.490,2.055 ± 1.847,2.950 ± 2.795,2.511 ± 2.298,2.900 ± 2.674
DIABETES,LPS_2.0,2.348 ± 2.213,1.761 ± 1.637,2.604 ± 2.379,2.322 ± 2.216,2.645 ± 2.446
HEIGHT,GSA,7.661 ± 7.209,3.944 ± 3.599,6.063 ± 5.562,3.880 ± 3.467,5.469 ± 4.911
HEIGHT,JAPONICA,6.723 ± 5.845,3.736 ± 3.479,3.792 ± 3.659,3.572 ± 3.233,4.741 ± 4.626
HEIGHT,UKB_WCSG,6.752 ± 6.097,2.969 ± 2.556,5.021 ± 4.507,2.186 ± 2.026,3.688 ± 3.571
HEIGHT,CYTOSNP,4.280 ± 3.950,2.799 ± 2.642,3.311 ± 3.142,2.499 ± 2.320,3.134 ± 3.033
HEIGHT,PMRA,6.201 ± 6.068,3.620 ± 3.345,5.017 ± 4.399,3.365 ± 3.063,4.763 ± 4.370
HEIGHT,PMDA,5.698 ± 5.345,3.677 ± 3.614,5.143 ± 4.839,3.065 ± 2.778,4.490 ± 4.384
HEIGHT,OMNI2.5,2.376 ± 2.206,1.717 ± 1.623,2.235 ± 2.038,1.449 ± 1.414,2.111 ± 2.019
HEIGHT,OMNI5,1.974 ± 1.868,1.195 ± 1.177,1.939 ± 1.819,0.962 ± 0.868,1.573 ± 1.547
HEIGHT,LPS_0.5,4.309 ± 4.155,3.773 ± 3.713,5.049 ± 4.836,3.138 ± 2.670,4.541 ± 4.013
HEIGHT,LPS_0.75,3.904 ± 3.845,3.337 ± 3.053,4.451 ± 3.938,2.882 ± 2.530,3.750 ± 3.493
HEIGHT,LPS_1.0,3.479 ± 3.220,2.765 ± 2.685,4.110 ± 3.793,2.467 ± 2.252,3.463 ± 3.203
HEIGHT,LPS_1.25,3.341 ± 3.131,2.659 ± 2.680,3.588 ± 3.455,2.325 ± 2.108,3.130 ± 2.921
HEIGHT,LPS_1.5,3.051 ± 3.107,2.629 ± 2.402,3.269 ± 3.264,2.165 ± 1.927,3.196 ± 2.983
HEIGHT,LPS_2.0,2.928 ± 2.746,2.296 ± 2.289,2.981 ± 2.860,2.010 ± 1.809,2.810 ± 2.642
METABOLIC,GSA,7.146 ± 6.573,4.249 ± 4.086,5.975 ± 5.555,4.191 ± 3.908,5.215 ± 4.638
METABOLIC,JAPONICA,5.779 ± 5.359,3.513 ± 3.234,4.009 ± 3.430,3.813 ± 3.234,4.310 ± 4.041
METABOLIC,UKB_WCSG,6.687 ± 6.409,3.249 ± 2.982,5.135 ± 4.658,2.805 ± 2.471,3.737 ± 3.487
METABOLIC,CYTOSNP,3.893 ± 3.561,2.398 ± 2.274,3.300 ± 2.834,2.449 ± 2.281,2.953 ± 2.788
METABOLIC,PMRA,5.859 ± 5.504,3.998 ± 3.312,5.416 ± 4.889,3.601 ± 3.328,4.543 ± 4.159
METABOLIC,PMDA,5.612 ± 4.945,3.310 ± 3.122,5.518 ± 4.883,3.302 ± 3.102,4.507 ± 4.277
METABOLIC,OMNI2.5,2.407 ± 2.294,1.912 ± 1.727,2.552 ± 2.260,1.847 ± 1.747,2.245 ± 2.070
METABOLIC,OMNI5,1.769 ± 1.695,1.287 ± 1.269,1.788 ± 1.727,1.151 ± 1.077,1.536 ± 1.497
METABOLIC,LPS_0.5,4.097 ± 3.814,3.113 ± 2.918,5.100 ± 4.458,3.141 ± 2.938,4.331 ± 3.922
METABOLIC,LPS_0.75,3.635 ± 3.370,2.614 ± 2.437,4.027 ± 3.706,2.605 ± 2.390,3.447 ± 3.190
METABOLIC,LPS_1.0,2.967 ± 2.935,2.284 ± 2.213,3.549 ± 3.197,2.417 ± 2.230,3.172 ± 3.177
METABOLIC,LPS_1.25,2.807 ± 2.651,2.033 ± 2.025,3.355 ± 2.943,2.102 ± 2.149,2.845 ± 2.566
METABOLIC,LPS_1.5,2.630 ± 2.394,2.186 ± 2.030,3.124 ± 2.872,2.020 ± 1.835,2.601 ± 2.533
METABOLIC,LPS_2.0,2.300 ± 2.113,1.917 ± 1.701,2.478 ± 2.270,1.820 ± 1.669,2.475 ± 2.288
