trait,array,AFR,AMR,EAS,EUR,SAS
DIABETES,PMDA,5.221 ± 4.853,2.717 ± 2.808,4.549 ± 4.205,2.569 ± 2.542,3.556 ± 3.639
DIABETES,OMNI2.5,2.113 ± 2.371,1.571 ± 1.927,2.479 ± 2.799,0.913 ± 1.551,1.538 ± 2.129
DIABETES,OMNI5,1.761 ± 1.998,0.985 ± 1.488,2.072 ± 2.458,0.669 ± 1.307,1.247 ± 1.841
DIABETES,LPS_0.5,4.217 ± 4.228,3.831 ± 3.873,4.647 ± 4.637,3.604 ± 3.355,4.511 ± 4.373
DIABETES,LPS_0.75,3.450 ± 3.163,2.947 ± 2.901,4.204 ± 3.945,3.084 ± 2.853,3.865 ± 3.672
DIABETES,LPS_1.0,3.194 ± 3.178,2.713 ± 2.727,3.550 ± 3.336,3.066 ± 2.815,3.345 ± 3.068
DIABETES,LPS_1.25,2.890 ± 2.917,2.452 ± 2.461,3.376 ± 3.154,2.697 ± 2.543,3.155 ± 3.100
DIABETES,LPS_1.5,2.662 ± 2.652,2.457 ± 2.309,3.141 ± 2.794,2.686 ± 2.535,2.841 ± 2.665
DIABETES,LPS_2.0,2.372 ± 2.268,2.375 ± 2.268,2.116 ± 2.184,2.496 ± 2.297,2.903 ± 2.608
HEIGHT,GSA,7.154 ± 6.563,3.888 ± 3.659,5.941 ± 5.495,3.987 ± 3.747,5.344 ± 4.797
HEIGHT,JAPONICA,6.566 ± 5.962,3.834 ± 3.639,3.758 ± 3.534,3.958 ± 3.474,4.274 ± 3.844
HEIGHT,UKB_WCSG,6.525 ± 5.817,3.043 ± 2.394,4.546 ± 4.281,2.391 ± 2.242,3.370 ± 3.157
HEIGHT,CYTOSNP,4.001 ± 3.694,2.549 ± 2.293,3.232 ± 2.839,2.727 ± 2.534,2.998 ± 2.772
HEIGHT,PMRA,5.795 ± 5.373,3.413 ± 3.083,5.008 ± 4.724,3.698 ± 3.385,4.314 ± 3.914
HEIGHT,PMDA,5.632 ± 5.255,3.614 ± 3.414,5.323 ± 4.955,3.399 ± 3.103,4.343 ± 4.003
HEIGHT,OMNI2.5,2.306 ± 2.322,1.712 ± 1.661,2.185 ± 1.922,1.517 ± 1.472,1.933 ± 1.861
HEIGHT,OMNI5,1.899 ± 1.758,1.264 ± 1.238,1.718 ± 1.596,1.063 ± 1.056,1.454 ± 1.373
HEIGHT,LPS_0.5,4.416 ± 4.060,3.653 ± 3.164,4.774 ± 4.179,3.503 ± 3.254,3.966 ± 3.707
HEIGHT,LPS_0.75,4.007 ± 3.718,3.021 ± 2.867,4.367 ± 3.979,2.921 ± 2.741,3.708 ± 3.376
HEIGHT,LPS_1.0,3.612 ± 3.210,2.878 ± 2.554,3.872 ± 3.445,2.753 ± 2.531,3.280 ± 2.880
HEIGHT,LPS_1.25,3.263 ± 2.934,2.654 ± 2.316,3.480 ± 3.095,2.477 ± 2.234,3.012 ± 2.854
HEIGHT,LPS_1.5,3.015 ± 2.835,2.610 ± 2.371,3.205 ± 2.951,2.397 ± 2.194,2.991 ± 2.735
HEIGHT,LPS_2.0,2.683 ± 2.512,2.389 ± 2.169,2.932 ± 2.692,2.236 ± 2.009,2.596 ± 2.585
METABOLIC,GSA,6.711 ± 6.067,4.181 ± 4.005,4.999 ± 4.543,4.013 ± 3.878,4.715 ± 4.405
METABOLIC,JAPONICA,5.834 ± 5.441,3.535 ± 3.556,3.568 ± 3.371,3.718 ± 3.434,4.319 ± 3.866
METABOLIC,UKB_WCSG,6.197 ± 5.556,3.279 ± 3.053,4.516 ± 4.129,2.675 ± 2.399,3.648 ± 3.672
METABOLIC,CYTOSNP,3.455 ± 3.375,2.437 ± 2.254,2.757 ± 2.636,2.260 ± 2.109,2.606 ± 2.510
METABOLIC,PMRA,5.260 ± 5.028,3.862 ± 3.528,4.436 ± 4.065,3.532 ± 3.571,4.195 ± 3.871
METABOLIC,PMDA,5.140 ± 4.902,3.237 ± 2.980,4.430 ± 4.003,3.209 ± 3.005,4.117 ± 3.890
METABOLIC,OMNI2.5,2.438 ± 2.194,2.018 ± 2.073,2.294 ± 2.041,1.718 ± 1.611,1.834 ± 1.781
METABOLIC,OMNI5,1.783 ± 1.702,1.289 ± 1.365,1.547 ± 1.511,1.011 ± 1.059,1.251 ± 1.227
METABOLIC,LPS_0.5,3.766 ± 3.501,3.136 ± 2.960,3.812 ± 3.360,3.021 ± 2.772,3.318 ± 2.965
METABOLIC,LPS_0.75,3.228 ± 3.027,2.520 ± 2.570,3.385 ± 3.044,2.624 ± 2.368,2.910 ± 2.795
METABOLIC,LPS_1.0,2.779 ± 2.613,2.566 ± 2.413,2.772 ± 2.458,2.236 ± 2.047,2.463 ± 2.201
METABOLIC,LPS_1.25,2.478 ± 2.328,2.080 ± 1.990,2.630 ± 2.420,2.047 ± 1.892,2.477 ± 2.428
METABOLIC,LPS_1.5,2.464 ± 2.262,2.016 ± 2.027,2.425 ± 2.125,1.858 ± 1.735,2.072 ± 1.983
METABOLIC,LPS_2.0,2.154 ± 1.949,1.830 ± 1.835,2.124 ± 2.012,1.649 ± 1.583,2.024 ± 1.939
